Dataset,Accuracy,F1 Score,Precision,Recall
ArrowHead,0.8342857142857143,0.8324951298701297,0.836759695849794,0.8342857142857143
ACSF1,0.91,0.906616943428089,0.9112698412698412,0.91
Adiac,0.8465473145780051,0.8354788074056219,0.8572998266130508,0.8465473145780051
AllGestureWiimoteX,0.7871428571428571,0.782805944547756,0.7831308913347196,0.7871428571428571
AllGestureWiimoteY,0.8028571428571428,0.8027519557864905,0.8069219872802942,0.8028571428571428
AllGestureWiimoteZ,0.7457142857142857,0.7462358591517189,0.7509788323651907,0.7457142857142857
Beef,0.7333333333333333,0.7367965367965367,0.7961111111111111,0.7333333333333333
BeetleFly,0.85,0.846547314578005,0.8846153846153847,0.85
BirdChicken,0.9,0.898989898989899,0.9166666666666667,0.9
BME,0.9866666666666667,0.986730045553575,0.9871794871794873,0.9866666666666667
Car,0.95,0.9485683987274655,0.9568181818181818,0.95
CBF,0.9988888888888889,0.9988888796908224,0.9988925559222589,0.9988888888888889
Chinatown,0.9825072886297376,0.9826711316014606,0.9835568513119534,0.9825072886297376
ChlorineConcentration,0.8526041666666667,0.8487092439370032,0.8524270785270595,0.8526041666666667
CinCECGTorso,0.8724637681159421,0.8712000503290267,0.8793230036498452,0.8724637681159421
Coffee,1.0,1.0,1.0,1.0
Computers,0.828,0.8278650461962179,0.8290318438623523,0.828
CricketX,0.8512820512820513,0.8491621751578854,0.8617213748261319,0.8512820512820513
CricketY,0.841025641025641,0.8411495645766462,0.8463467723884407,0.841025641025641
CricketZ,0.8564102564102564,0.8582288792742758,0.8636022533496441,0.8564102564102564
Crop,0.7572023809523809,0.7555042504047811,0.7550999145457344,0.7572023809523809
DiatomSizeReduction,0.954248366013072,0.9534381125022137,0.9580268507604148,0.954248366013072
DistalPhalanxOutlineAgeGroup,0.7266187050359713,0.7270675077601093,0.7293655984303465,0.7266187050359713
DistalPhalanxOutlineCorrect,0.782608695652174,0.7768762677484787,0.7862765126479601,0.782608695652174
DistalPhalanxTW,0.6834532374100719,0.674556947902762,0.6756657012052696,0.6834532374100719
DodgerLoopDay,0.6,0.5925629838589478,0.6090847520535021,0.6
DodgerLoopGame,0.8188405797101449,0.8188882056158944,0.819021853378545,0.8188405797101449
DodgerLoopWeekend,0.9710144927536232,0.9714874141876428,0.9739130434782609,0.9710144927536232
Earthquakes,0.7194244604316546,0.6721659478406047,0.6585611510791367,0.7194244604316546
ECG200,0.91,0.9097150343924008,0.9096263736263737,0.91
ECG5000,0.9408888888888889,0.9358244822494081,0.9333314163431652,0.9408888888888889
ECGFiveDays,0.9953542392566783,0.9953540136247822,0.9953967633824753,0.9953542392566783
ElectricDevices,0.7070418882116457,0.6936236173729535,0.7175229766654813,0.7070418882116457
EOGHorizontalSignal,0.5966850828729282,0.6047289672164422,0.6884989891038662,0.5966850828729282
EOGVerticalSignal,0.4198895027624309,0.4327345254084836,0.4723698492372622,0.4198895027624309
EthanolLevel,0.756,0.7564721094131603,0.7725803496675696,0.756
FaceAll,0.7976331360946746,0.7866327244551627,0.9051941333246243,0.7976331360946746
FaceFour,0.9545454545454546,0.9551731601731602,0.9606060606060606,0.9545454545454546
FacesUCR,0.9648780487804878,0.9643979592349293,0.965828873014389,0.9648780487804878
FiftyWords,0.8087912087912088,0.7890528754321232,0.7893862957231425,0.8087912087912088
Fish,0.9885714285714285,0.9885741303613645,0.9890169201113729,0.9885714285714285
FordA,0.9568181818181818,0.9568242579136085,0.9568841706887062,0.9568181818181818
FordB,0.854320987654321,0.8543236522543418,0.8543367339066265,0.854320987654321
FreezerRegularTrain,0.9978947368421053,0.997894732695072,0.9978986599586627,0.9978947368421053
FreezerSmallTrain,0.9498245614035088,0.9497859789836672,0.9512113314469982,0.9498245614035088
Fungi,1.0,1.0,1.0,1.0
GestureMidAirD1,0.7307692307692307,0.720987345987346,0.7454212454212454,0.7307692307692307
GestureMidAirD2,0.7076923076923077,0.695305335689951,0.7522644022644023,0.7076923076923077
GestureMidAirD3,0.3923076923076923,0.36760722937193524,0.40354090354090355,0.3923076923076923
GesturePebbleZ1,0.9127906976744186,0.9117851553405593,0.9304038806325913,0.9127906976744186
GesturePebbleZ2,0.9050632911392406,0.9043121687671836,0.9068812707810768,0.9050632911392406
GunPoint,1.0,1.0,1.0,1.0
GunPointAgeSpan,0.990506329113924,0.9905058536268064,0.990525223884004,0.990506329113924
GunPointMaleVersusFemale,0.9936708860759493,0.9936726642737205,0.9937541638907393,0.9936708860759493
GunPointOldVersusYoung,0.9777777777777777,0.9777431192041132,0.9786821705426356,0.9777777777777777
